statistics_code,statistics_name,value,date,classification,county_code,county_name,country_code,country_name
non-voters,Non voters,37104,2013,election,benesov,Benešov,cz,Czechia
cssd,ČSSD,9703,2013,election,benesov,Benešov,cz,Czechia
svobodni,Svobodní,1184,2013,election,benesov,Benešov,cz,Czechia
pirati,Piráti,1228,2013,election,benesov,Benešov,cz,Czechia
top-09,TOP 09,5586,2013,election,benesov,Benešov,cz,Czechia
hlavu-vzhuru,Hlavu vzhůru,215,2013,election,benesov,Benešov,cz,Czechia
ods,ODS,3717,2013,election,benesov,Benešov,cz,Czechia
rds,RDS,14,2013,election,benesov,Benešov,cz,Czechia
kan,KAN,0,2013,election,benesov,Benešov,cz,Czechia
zmena,Změna,246,2013,election,benesov,Benešov,cz,Czechia
soukromnici,Soukromníci,159,2013,election,benesov,Benešov,cz,Czechia
kdu-csl,KDU-ČSL,3033,2013,election,benesov,Benešov,cz,Czechia
pb,PB,0,2013,election,benesov,Benešov,cz,Czechia
suverenita,Suverenita,189,2013,election,benesov,Benešov,cz,Czechia
aneo,ANEO,32,2013,election,benesov,Benešov,cz,Czechia
spoz,SPOZ,532,2013,election,benesov,Benešov,cz,Czechia
obcane-2011,Občané 2011,0,2013,election,benesov,Benešov,cz,Czechia
usvit,Úsvit,3566,2013,election,benesov,Benešov,cz,Czechia
dsss,DSSS,350,2013,election,benesov,Benešov,cz,Czechia
ano,ANO,9854,2013,election,benesov,Benešov,cz,Czechia
lev,LEV,35,2013,election,benesov,Benešov,cz,Czechia
zeleni,Zelení,1369,2013,election,benesov,Benešov,cz,Czechia
non-voters,Non voters,33428,2013,election,benesov,Beroun,cz,Czechia
cssd,ČSSD,8402,2013,election,benesov,Beroun,cz,Czechia
svobodni,Svobodní,1043,2013,election,benesov,Beroun,cz,Czechia
pirati,Piráti,1211,2013,election,benesov,Beroun,cz,Czechia
top-09,TOP 09,5860,2013,election,benesov,Beroun,cz,Czechia
hlavu-vzhuru,Hlavu vzhůru,238,2013,election,benesov,Beroun,cz,Czechia
ods,ODS,3792,2013,election,benesov,Beroun,cz,Czechia
rds,RDS,33,2013,election,benesov,Beroun,cz,Czechia
kan,KAN,0,2013,election,benesov,Beroun,cz,Czechia
zmena,Změna,221,2013,election,benesov,Beroun,cz,Czechia
soukromnici,Soukromníci,133,2013,election,benesov,Beroun,cz,Czechia
kdu-csl,KDU-ČSL,1395,2013,election,benesov,Beroun,cz,Czechia
pb,PB,0,2013,election,benesov,Beroun,cz,Czechia
suverenita,Suverenita,143,2013,election,benesov,Beroun,cz,Czechia
aneo,ANEO,32,2013,election,benesov,Beroun,cz,Czechia
spoz,SPOZ,404,2013,election,benesov,Beroun,cz,Czechia
obcane-2011,Občané 2011,0,2013,election,benesov,Beroun,cz,Czechia
usvit,Úsvit,2393,2013,election,benesov,Beroun,cz,Czechia
dsss,DSSS,287,2013,election,benesov,Beroun,cz,Czechia
ano,ANO,8469,2013,election,benesov,Beroun,cz,Czechia
lev,LEV,26,2013,election,benesov,Beroun,cz,Czechia
zeleni,Zelení,1465,2013,election,benesov,Beroun,cz,Czechia
non-voters,Non voters,40528,2013,election,benesov,Blansko,cz,Czechia
cssd,ČSSD,14645,2013,election,benesov,Blansko,cz,Czechia
svobodni,Svobodní,1062,2013,election,benesov,Blansko,cz,Czechia
pirati,Piráti,1352,2013,election,benesov,Blansko,cz,Czechia
top-09,TOP 09,3882,2013,election,benesov,Blansko,cz,Czechia
hlavu-vzhuru,Hlavu vzhůru,104,2013,election,benesov,Blansko,cz,Czechia
ods,ODS,3098,2013,election,benesov,Blansko,cz,Czechia
rds,RDS,0,2013,election,benesov,Blansko,cz,Czechia
kan,KAN,0,2013,election,benesov,Blansko,cz,Czechia
zmena,Změna,175,2013,election,benesov,Blansko,cz,Czechia
soukromnici,Soukromníci,163,2013,election,benesov,Blansko,cz,Czechia
kdu-csl,KDU-ČSL,6988,2013,election,benesov,Blansko,cz,Czechia
pb,PB,0,2013,election,benesov,Blansko,cz,Czechia
suverenita,Suverenita,121,2013,election,benesov,Blansko,cz,Czechia
aneo,ANEO,0,2013,election,benesov,Blansko,cz,Czechia
spoz,SPOZ,962,2013,election,benesov,Blansko,cz,Czechia
obcane-2011,Občané 2011,0,2013,election,benesov,Blansko,cz,Czechia
