statistics_code,statistics_name,classification,value,county_code,county_name,date,country_code,country_name
65-,65-,age,"218,563",budapest,Budapest,2014,hu,Hungary
65-,65-,age,"206,109",pest,Pest ,2014,hu,Hungary
65-,65-,age,"62,833",fejer,Fejér,2014,hu,Hungary
65-,65-,age,"46,000",komarom-esztergom,Komárom-Esztergom,2014,hu,Hungary
65-,65-,age,"50,122",veszprem,Veszprém,2014,hu,Hungary
65-,65-,age,"65,056",gyor-moson-sopron,Győr-Moson-Sopron,2014,hu,Hungary
65-,65-,age,"35,483",vas,Vas,2014,hu,Hungary
65-,65-,age,"37,480",zala,Zala,2014,hu,Hungary
65-,65-,age,"55,645",baranya,Baranya,2014,hu,Hungary
65-,65-,age,"45,972",somogy,Somogy,2014,hu,Hungary
65-,65-,age,"33,088",tolna,Tolna ,2014,hu,Hungary
65-,65-,age,"113,544",borsod-abauj-zemplen,Borsod-Abaúj-Zemplén,2014,hu,Hungary
65-,65-,age,"45,544",heves,Heves,2014,hu,Hungary
65-,65-,age,"30,087",nograd,Nógrád ,2014,hu,Hungary
65-,65-,age,"86,324",hajdu-bihar,Hajdú-Bihar,2014,hu,Hungary
65-,65-,age,"59,193",jasz-nagykun-szolnok,Jász-Nagykun-Szolnok,2014,hu,Hungary
65-,65-,age,"98,810",szabolcs-szatmar-bereg,Szabolcs-Szatmár-Bereg,2014,hu,Hungary
65-,65-,age,"77,516",bacs-kiskun,Bács-Kiskun ,2014,hu,Hungary
65-,65-,age,"50,641",bekes,Békés,2014,hu,Hungary
65-,65-,age,"58,846",csongrad,Csongrád,2014,hu,Hungary
