statistics_code,statistics_name,value,date,classification,county_code,county_name,country_code,country_name
no-education,No Education,0.006189550365466492,2011,education,benesov,Benešov,cz,Czechia
primary,Primary,0.1751778111387296,2011,education,benesov,Benešov,cz,Czechia
secondary,Secondary,0.6874461644476164,2011,education,benesov,Benešov,cz,Czechia
tertiary,Tertiary,0.09756847882263185,2011,education,benesov,Benešov,cz,Czechia
no-education,No Education,0.0038927039214879996,2011,education,beroun,Beroun,cz,Czechia
primary,Primary,0.16645421275545869,2011,education,beroun,Beroun,cz,Czechia
secondary,Secondary,0.6796332086023273,2011,education,beroun,Beroun,cz,Czechia
tertiary,Tertiary,0.10441767068273092,2011,education,beroun,Beroun,cz,Czechia
no-education,No Education,0.003978456491865774,2011,education,blansko,Blansko,cz,Czechia
primary,Primary,0.17065251119287203,2011,education,blansko,Blansko,cz,Czechia
secondary,Secondary,0.685502460215435,2011,education,blansko,Blansko,cz,Czechia
tertiary,Tertiary,0.11046588944545414,2011,education,blansko,Blansko,cz,Czechia
no-education,No Education,0.0026398857336298875,2011,education,brno-mesto,Brno-město,cz,Czechia
primary,Primary,0.12899212191580278,2011,education,brno-mesto,Brno-město,cz,Czechia
secondary,Secondary,0.574785379368506,2011,education,brno-mesto,Brno-město,cz,Czechia
tertiary,Tertiary,0.23634549541657635,2011,education,brno-mesto,Brno-město,cz,Czechia
no-education,No Education,0.0031695357089539383,2011,education,brno-venkov,Brno-venkov,cz,Czechia
primary,Primary,0.17544987884564592,2011,education,brno-venkov,Brno-venkov,cz,Czechia
secondary,Secondary,0.6599696827019144,2011,education,brno-venkov,Brno-venkov,cz,Czechia
tertiary,Tertiary,0.1258340127929811,2011,education,brno-venkov,Brno-venkov,cz,Czechia
no-education,No Education,0.00938331011776624,2011,education,bruntal,Bruntál,cz,Czechia
primary,Primary,0.22207167278713436,2011,education,bruntal,Bruntál,cz,Czechia
secondary,Secondary,0.6498417120425478,2011,education,bruntal,Bruntál,cz,Czechia
tertiary,Tertiary,0.0764340888945169,2011,education,bruntal,Bruntál,cz,Czechia
no-education,No Education,0.005335365853658537,2011,education,breclav,Břeclav,cz,Czechia
primary,Primary,0.2244973632168754,2011,education,breclav,Břeclav,cz,Czechia
secondary,Secondary,0.649390243902439,2011,education,breclav,Břeclav,cz,Czechia
tertiary,Tertiary,0.08540705339485827,2011,education,breclav,Břeclav,cz,Czechia
no-education,No Education,0.006679288326532532,2011,education,ceska-lipa,Česká Lípa,cz,Czechia
primary,Primary,0.2042592222392079,2011,education,ceska-lipa,Česká Lípa,cz,Czechia
secondary,Secondary,0.6641658533143616,2011,education,ceska-lipa,Česká Lípa,cz,Czechia
tertiary,Tertiary,0.06885076259128164,2011,education,ceska-lipa,Česká Lípa,cz,Czechia
no-education,No Education,0.003434272535846786,2011,education,ceske-budejovice,České Budějovice,cz,Czechia
primary,Primary,0.15797653664895217,2011,education,ceske-budejovice,České Budějovice,cz,Czechia
secondary,Secondary,0.6538278351549183,2011,education,ceske-budejovice,České Budějovice,cz,Czechia
tertiary,Tertiary,0.14513561616364185,2011,education,ceske-budejovice,České Budějovice,cz,Czechia
no-education,No Education,0.0064424890006285354,2011,education,cesky-krumlov,Český Krumlov,cz,Czechia
primary,Primary,0.22008563796354494,2011,education,cesky-krumlov,Český Krumlov,cz,Czechia
secondary,Secondary,0.6368046825895664,2011,education,cesky-krumlov,Český Krumlov,cz,Czechia
tertiary,Tertiary,0.0792543997485858,2011,education,cesky-krumlov,Český Krumlov,cz,Czechia
no-education,No Education,0.010319414834962876,2011,education,decin,Děčín,cz,Czechia
primary,Primary,0.22492281114460044,2011,education,decin,Děčín,cz,Czechia
secondary,Secondary,0.6424777622583254,2011,education,decin,Děčín,cz,Czechia
tertiary,Tertiary,0.061741895170183046,2011,education,decin,Děčín,cz,Czechia
no-education,No Education,0.004004947287826138,2011,education,domazlice,Domažlice,cz,Czechia
primary,Primary,0.20397746235545872,2011,education,domazlice,Domažlice,cz,Czechia
secondary,Secondary,0.6778765926536702,2011,education,domazlice,Domažlice,cz,Czechia
tertiary,Tertiary,0.06947798260596423,2011,education,domazlice,Domažlice,cz,Czechia
no-education,No Education,0.0047549398855877886,2011,education,frydek-mistek,Frýdek-Místek,cz,Czechia
primary,Primary,0.18058606610608824,2011,education,frydek-mistek,Frýdek-Místek,cz,Czechia
secondary,Secondary,0.6633423500245653,2011,education,frydek-mistek,Frýdek-Místek,cz,Czechia
tertiary,Tertiary,0.11722451561167614,2011,education,frydek-mistek,Frýdek-Místek,cz,Czechia
no-education,No Education,0.004832234722704069,2011,education,havlickuv-brod,Havlíčkův Brod,cz,Czechia
primary,Primary,0.17698369430539723,2011,education,havlickuv-brod,Havlíčkův Brod,cz,Czechia
secondary,Secondary,0.701925459681816,2011,education,havlickuv-brod,Havlíčkův Brod,cz,Czechia
tertiary,Tertiary,0.08776081677157159,2011,education,havlickuv-brod,Havlíčkův Brod,cz,Czechia
no-education,No Education,0.003654329207396423,2011,education,hodonin,Hodonín,cz,Czechia
primary,Primary,0.21587022970069303,2011,education,hodonin,Hodonín,cz,Czechia
secondary,Secondary,0.662235571830645,2011,education,hodonin,Hodonín,cz,Czechia
tertiary,Tertiary,0.08665224101927792,2011,education,hodonin,Hodonín,cz,Czechia
no-education,No Education,0.004107830551989731,2011,education,hradec-kralove,Hradec Králové,cz,Czechia
primary,Primary,0.15375124803879617,2011,education,hradec-kralove,Hradec Králové,cz,Czechia
secondary,Secondary,0.6539224076451291,2011,education,hradec-kralove,Hradec Králové,cz,Czechia
tertiary,Tertiary,0.1426330052774212,2011,education,hradec-kralove,Hradec Králové,cz,Czechia
no-education,No Education,0.009543622415810688,2011,education,cheb,Cheb,cz,Czechia
primary,Primary,0.22470419971395136,2011,education,cheb,Cheb,cz,Czechia
secondary,Secondary,0.6164738005460928,2011,education,cheb,Cheb,cz,Czechia
tertiary,Tertiary,0.06752047848134182,2011,education,cheb,Cheb,cz,Czechia
no-education,No Education,0.009252662186362674,2011,education,chomutov,Chomutov,cz,Czechia
primary,Primary,0.23064258342801025,2011,education,chomutov,Chomutov,cz,Czechia
secondary,Secondary,0.6229034680633918,2011,education,chomutov,Chomutov,cz,Czechia
tertiary,Tertiary,0.06449904681211607,2011,education,chomutov,Chomutov,cz,Czechia
no-education,No Education,0.006360311655271109,2011,education,chrudim,Chrudim,cz,Czechia
primary,Primary,0.18703859346250823,2011,education,chrudim,Chrudim,cz,Czechia
secondary,Secondary,0.6839606569293324,2011,education,chrudim,Chrudim,cz,Czechia
tertiary,Tertiary,0.08495559139540694,2011,education,chrudim,Chrudim,cz,Czechia
no-education,No Education,0.005775511829841472,2011,education,jablonec-nad-nisou,Jablonec nad Nisou,cz,Czechia
primary,Primary,0.185679386069731,2011,education,jablonec-nad-nisou,Jablonec nad Nisou,cz,Czechia
secondary,Secondary,0.6588597679173637,2011,education,jablonec-nad-nisou,Jablonec nad Nisou,cz,Czechia
tertiary,Tertiary,0.09481133328022517,2011,education,jablonec-nad-nisou,Jablonec nad Nisou,cz,Czechia
no-education,No Education,0.010349405588075554,2011,education,jesenik,Jeseník,cz,Czechia
primary,Primary,0.21950998732725846,2011,education,jesenik,Jeseník,cz,Czechia
secondary,Secondary,0.6437149236618188,2011,education,jesenik,Jeseník,cz,Czechia
tertiary,Tertiary,0.07920463460261903,2011,education,jesenik,Jeseník,cz,Czechia
no-education,No Education,0.004069606312995026,2011,education,jicin,Jičín,cz,Czechia
primary,Primary,0.17868343130533718,2011,education,jicin,Jičín,cz,Czechia
secondary,Secondary,0.6769987018101725,2011,education,jicin,Jičín,cz,Czechia
tertiary,Tertiary,0.08613270709045029,2011,education,jicin,Jičín,cz,Czechia
