Benešov;6,14;6,67
Beroun;7,69;7,17
Blansko;10,31;9,37
Brno-město;8,56;8,93
Brno-venkov;8,86;8,24
Bruntál;17,85;17,97
Břeclav;13,26;11,45
Česká Lípa;12,38;11,87
České Budějovice;6,47;6,77
Český Krumlov;11,41;10,76
Děčín;15,71;14,77
Domažlice;9,83;7,75
Frýdek-Místek;9,51;9,34
Havlíčkův Brod;10,23;10,06
Hodonín;16,35;14,92
Hradec Králové;7,43;8,22
Cheb;9,72;9,05
Chomutov;13,27;15,09
Chrudim;11,48;10,26
Jablonec nad Nisou;10,02;9,33
Jeseník;19,69;16,44
Jičín;8,80;8,36
Jihlava;9,58;9,19
Jindřichův Hradec;8,18;8,17
Karlovy Vary;10,90;10,14
Karviná;14,27;14,43
Kladno;9,17;9,20
Klatovy;10,22;9,07
Kolín;10,37;10,28
Kroměříž;12,65;11,59
Kutná Hora;9,95;10,48
Liberec;10,12;9,85
Litoměřice;11,48;11,55
Louny;12,36;13,29
Mělník;8,95;8,51
Mladá Boleslav;5,00;5,07
Most;16,51;16,02
Náchod;8,71;8,10
Nový Jičín;11,38;9,67
Nymburk;10,67;9,32
Olomouc;11,17;10,52
Opava;11,36;11,23
Ostrava-město;11,98;12,77
Pardubice;7,02;7,16
Pelhřimov;7,78;6,74
Písek;8,17;7,86
Plzeň-jih;6,73;5,76
Plzeň-město;6,44;6,26
Plzeň-sever;8,12;7,29
Praha;6,14;6,67
Praha-východ;4,17;3,58
Praha-západ;4,14;4,44
Prachatice;7,27;7,54
Prostějov;11,07;10,88
Přerov;12,95;12,76
Příbram;10,97;10,30
Rakovník;9,31;9,42
Rokycany;7,50;6,10
Rychnov nad Kněžnou;7,16;7,30
Semily;9,65;10,04
Sokolov;14,12;13,82
Strakonice;10,69;9,61
Svitavy;12,97;11,53
Šumperk;13,44;12,82
Tábor;10,05;9,83
Tachov;12,53;10,68
Teplice;14,04;12,97
Trutnov;9,95;10,82
Třebíč;13,84;13,40
Uherské Hradiště;10,18;10,26
Ústí nad Labem;13,71;14,13
Ústí nad Orlicí;10,03;9,04
Vsetín;11,65;11,95
Vyškov;9,22;8,74
Zlín;9,47;8,76
Znojmo;14,73;15,13
Žďár nad Sázavou;11,07;10,62
