statistics_code,statistics_name,value,date,classification,county_code,county_name,country_code,country_name
non-voters,Non voters,0.3792308873982283,2013,election,benesov,Benešov,cz,Czechia
cssd,ČSSD,0.12421270930411184,2013,election,benesov,Benešov,cz,Czechia
svobodni,Svobodní,0.015156946080188438,2013,election,benesov,Benešov,cz,Czechia
pirati,Piráti,0.01572021096830355,2013,election,benesov,Benešov,cz,Czechia
top-09,TOP 09,0.0715090378411593,2013,election,benesov,Benešov,cz,Czechia
hlavu-vzhuru,Hlavu vzhůru,0.00275231706692611,2013,election,benesov,Benešov,cz,Czechia
ods,ODS,0.04758308157099698,2013,election,benesov,Benešov,cz,Czechia
rds,RDS,0.00017922064621844435,2013,election,benesov,Benešov,cz,Czechia
kan,KAN,0.0,2013,election,benesov,Benešov,cz,Czechia
zmena,Změna,0.003149162783552665,2013,election,benesov,Benešov,cz,Czechia
soukromnici,Soukromníci,0.0020354344820523325,2013,election,benesov,Benešov,cz,Czechia
kdu-csl,KDU-ČSL,0.03882687285575298,2013,election,benesov,Benešov,cz,Czechia
pb,PB,0.0,2013,election,benesov,Benešov,cz,Czechia
suverenita,Suverenita,0.002419478723948999,2013,election,benesov,Benešov,cz,Czechia
aneo,ANEO,0.00040964719135644427,2013,election,benesov,Benešov,cz,Czechia
spoz,SPOZ,0.006810384556300886,2013,election,benesov,Benešov,cz,Czechia
obcane-2011,Občané 2011,0.0,2013,election,benesov,Benešov,cz,Czechia
usvit,Úsvit,0.04565005888678376,2013,election,benesov,Benešov,cz,Czechia
dsss,DSSS,0.004480516155461109,2013,election,benesov,Benešov,cz,Czechia
ano,ANO,0.12614573198832504,2013,election,benesov,Benešov,cz,Czechia
lev,LEV,0.0004480516155461109,2013,election,benesov,Benešov,cz,Czechia
zeleni,Zelení,0.017525218905217882,2013,election,benesov,Benešov,cz,Czechia
kscm,KSČM,0.09424445696144196,2013,election,benesov,Benešov,cz,Czechia
kc,KČ,0.0015105740181268882,2013,election,benesov,Benešov,cz,Czechia
non-voters,Non voters,0.38495106922798117,2013,election,beroun,Beroun,cz,Czechia
cssd,ČSSD,0.12181225081551286,2013,election,beroun,Beroun,cz,Czechia
svobodni,Svobodní,0.015121420804639362,2013,election,beroun,Beroun,cz,Czechia
pirati,Piráti,0.017557085900688656,2013,election,beroun,Beroun,cz,Czechia
top-09,TOP 09,0.08495831823124321,2013,election,beroun,Beroun,cz,Czechia
hlavu-vzhuru,Hlavu vzhůru,0.003450525552736499,2013,election,beroun,Beroun,cz,Czechia
ods,ODS,0.054976440739398336,2013,election,beroun,Beroun,cz,Czechia
rds,RDS,0.0004784342152953969,2013,election,beroun,Beroun,cz,Czechia
kan,KAN,0.0,2013,election,beroun,Beroun,cz,Czechia
zmena,Změna,0.003204059441826749,2013,election,beroun,Beroun,cz,Czechia
soukromnici,Soukromníci,0.0019282348677056905,2013,election,beroun,Beroun,cz,Czechia
kdu-csl,KDU-ČSL,0.020224719101123594,2013,election,beroun,Beroun,cz,Czechia
pb,PB,0.0,2013,election,beroun,Beroun,cz,Czechia
suverenita,Suverenita,0.0020732149329467198,2013,election,beroun,Beroun,cz,Czechia
aneo,ANEO,0.00046393620877129395,2013,election,beroun,Beroun,cz,Czechia
spoz,SPOZ,0.005857194635737586,2013,election,beroun,Beroun,cz,Czechia
obcane-2011,Občané 2011,0.0,2013,election,beroun,Beroun,cz,Czechia
usvit,Úsvit,0.03469372961217833,2013,election,beroun,Beroun,cz,Czechia
dsss,DSSS,0.004160927872417543,2013,election,beroun,Beroun,cz,Czechia
ano,ANO,0.12278361725262776,2013,election,beroun,Beroun,cz,Czechia
lev,LEV,0.0003769481696266763,2013,election,beroun,Beroun,cz,Czechia
zeleni,Zelení,0.021239579557810803,2013,election,beroun,Beroun,cz,Czechia
kscm,KSČM,0.09816600217470098,2013,election,beroun,Beroun,cz,Czechia
kc,KČ,0.0015222906850308083,2013,election,beroun,Beroun,cz,Czechia
non-voters,Non voters,0.36182473540418303,2013,election,blansko,Blansko,cz,Czechia
cssd,ČSSD,0.1681130472713915,2013,election,blansko,Blansko,cz,Czechia
svobodni,Svobodní,0.01219092223982368,2013,election,blansko,Blansko,cz,Czechia
pirati,Piráti,0.015519893472920541,2013,election,blansko,Blansko,cz,Czechia
top-09,TOP 09,0.044562297678903504,2013,election,blansko,Blansko,cz,Czechia
hlavu-vzhuru,Hlavu vzhůru,0.0011938379594554262,2013,election,blansko,Blansko,cz,Czechia
ods,ODS,0.03556259613839337,2013,election,blansko,Blansko,cz,Czechia
rds,RDS,0.0,2013,election,blansko,Blansko,cz,Czechia
kan,KAN,0.0,2013,election,blansko,Blansko,cz,Czechia
zmena,Změna,0.0020088619510067267,2013,election,blansko,Blansko,cz,Czechia
soukromnici,Soukromníci,0.0018711114172234083,2013,election,blansko,Blansko,cz,Czechia
kdu-csl,KDU-ČSL,0.08021672750648576,2013,election,blansko,Blansko,cz,Czechia
pb,PB,0.0,2013,election,blansko,Blansko,cz,Czechia
suverenita,Suverenita,0.001388984548981794,2013,election,blansko,Blansko,cz,Czechia
aneo,ANEO,0.0,2013,election,blansko,Blansko,cz,Czechia
spoz,SPOZ,0.011043001124962693,2013,election,blansko,Blansko,cz,Czechia
obcane-2011,Občané 2011,0.0,2013,election,blansko,Blansko,cz,Czechia
usvit,Úsvit,0.03999357164175678,2013,election,blansko,Blansko,cz,Czechia
dsss,DSSS,0.003822577312487086,2013,election,blansko,Blansko,cz,Czechia
ano,ANO,0.10107445416350988,2013,election,blansko,Blansko,cz,Czechia
lev,LEV,0.00019514658952636774,2013,election,blansko,Blansko,cz,Czechia
zeleni,Zelení,0.016013499552310764,2013,election,blansko,Blansko,cz,Czechia
kscm,KSČM,0.10250935555708612,2013,election,blansko,Blansko,cz,Czechia
kc,KČ,0.0008953784695915697,2013,election,blansko,Blansko,cz,Czechia
non-voters,Non voters,0.43808228995404913,2013,election,breclav,Břeclav,cz,Czechia
cssd,ČSSD,0.12828295603052148,2013,election,breclav,Břeclav,cz,Czechia
svobodni,Svobodní,0.014017115635934404,2013,election,breclav,Břeclav,cz,Czechia
pirati,Piráti,0.011740651743181148,2013,election,breclav,Břeclav,cz,Czechia
top-09,TOP 09,0.04452805530964125,2013,election,breclav,Břeclav,cz,Czechia
hlavu-vzhuru,Hlavu vzhůru,0.0014333291176594578,2013,election,breclav,Břeclav,cz,Czechia
ods,ODS,0.03469499599510982,2013,election,breclav,Břeclav,cz,Czechia
rds,RDS,0.0,2013,election,breclav,Břeclav,cz,Czechia
kan,KAN,0.0,2013,election,breclav,Břeclav,cz,Czechia
zmena,Změna,0.0017705830276969774,2013,election,breclav,Břeclav,cz,Czechia
soukromnici,Soukromníci,0.002139454491800514,2013,election,breclav,Břeclav,cz,Czechia
kdu-csl,KDU-ČSL,0.05424518359259728,2013,election,breclav,Břeclav,cz,Czechia
pb,PB,0.0,2013,election,breclav,Břeclav,cz,Czechia
suverenita,Suverenita,0.0007166645588297289,2013,election,breclav,Břeclav,cz,Czechia
aneo,ANEO,0.0,2013,election,breclav,Břeclav,cz,Czechia
spoz,SPOZ,0.008041397917457106,2013,election,breclav,Břeclav,cz,Czechia
obcane-2011,Občané 2011,0.0,2013,election,breclav,Břeclav,cz,Czechia
usvit,Úsvit,0.04279962902069896,2013,election,breclav,Břeclav,cz,Czechia
dsss,DSSS,0.0031617554066017454,2013,election,breclav,Břeclav,cz,Czechia
ano,ANO,0.10664600986467687,2013,election,breclav,Břeclav,cz,Czechia
lev,LEV,0.0002950971712828296,2013,election,breclav,Břeclav,cz,Czechia
zeleni,Zelení,0.01242569874794486,2013,election,breclav,Břeclav,cz,Czechia
kscm,KSČM,0.09391467476076051,2013,election,breclav,Břeclav,cz,Czechia
kc,KČ,0.001064457653555921,2013,election,breclav,Břeclav,cz,Czechia
non-voters,Non voters,0.40113897556403044,2013,election,brno-mesto,Brno-město,cz,Czechia
cssd,ČSSD,0.12439808929465695,2013,election,brno-mesto,Brno-město,cz,Czechia
svobodni,Svobodní,0.020673626359515647,2013,election,brno-mesto,Brno-město,cz,Czechia
pirati,Piráti,0.016991537938030484,2013,election,brno-mesto,Brno-město,cz,Czechia
top-09,TOP 09,0.0825917793443507,2013,election,brno-mesto,Brno-město,cz,Czechia
hlavu-vzhuru,Hlavu vzhůru,0.0015312608343926962,2013,election,brno-mesto,Brno-město,cz,Czechia
ods,ODS,0.056849262298239535,2013,election,brno-mesto,Brno-město,cz,Czechia
rds,RDS,0.0,2013,election,brno-mesto,Brno-město,cz,Czechia
kan,KAN,0.0,2013,election,brno-mesto,Brno-město,cz,Czechia
zmena,Změna,0.0020545218742375796,2013,election,brno-mesto,Brno-město,cz,Czechia
soukromnici,Soukromníci,0.0008089679879810471,2013,election,brno-mesto,Brno-město,cz,Czechia
kdu-csl,KDU-ČSL,0.05196014227563979,2013,election,brno-mesto,Brno-město,cz,Czechia
pb,PB,0.0,2013,election,brno-mesto,Brno-město,cz,Czechia
suverenita,Suverenita,0.0006388278952707474,2013,election,brno-mesto,Brno-město,cz,Czechia
aneo,ANEO,0.0,2013,election,brno-mesto,Brno-město,cz,Czechia
spoz,SPOZ,0.007913119406243178,2013,election,brno-mesto,Brno-město,cz,Czechia
obcane-2011,Občané 2011,0.0,2013,election,brno-mesto,Brno-město,cz,Czechia
usvit,Úsvit,0.03165568781540121,2013,election,brno-mesto,Brno-město,cz,Czechia
dsss,DSSS,0.00314919681035479,2013,election,brno-mesto,Brno-město,cz,Czechia
ano,ANO,0.10328145665600884,2013,election,brno-mesto,Brno-město,cz,Czechia
lev,LEV,0.00025039485342270504,2013,election,brno-mesto,Brno-město,cz,Czechia
zeleni,Zelení,0.031716681433542636,2013,election,brno-mesto,Brno-město,cz,Czechia
kscm,KSČM,0.06146551613441709,2013,election,brno-mesto,Brno-město,cz,Czechia
