Benešov;3217;3690
Beroun;3494;4076
Blansko;5665;5621
Brno-město;19711;22574
Brno-venkov;9086;10032
Bruntál;9092;9741
Břeclav;8087;7322
Česká Lípa;6937;6709
České Budějovice;6692;7782
Český Krumlov;4042;4156
Děčín;10730;10264
Domažlice;3184;2705
Frýdek-Místek;10710;11345
Havlíčkův Brod;5135;4756
Hodonín;13398;12953
Hradec Králové;6770;8268
Cheb;5574;4925
Chomutov;9246;10596
Chrudim;6206;6037
Jablonec nad Nisou;4962;4867
Jeseník;4055;3475
Jičín;3757;3483
Jihlava;5980;5778
Jindřichův Hradec;4179;4724
Karlovy Vary;7591;7530
Karviná;20940;22811
Kladno;8286;9233
Klatovy;4827;4305
Kolín;5537;6231
Kroměříž;6720;6934
Kutná Hora;4025;4457
Liberec;9799;9953
Litoměřice;7324;7926
Louny;6495;6811
Mělník;5251;5956
Mladá Boleslav;4076;4037
Most;9871;10724
Náchod;4881;5329
Nový Jičín;9235;8672
Nymburk;5238;5538
Olomouc;13676;14778
Opava;11067;11214
Ostrava-město;21732;26193
Pardubice;6709;7090
Pelhřimov;3003;2778
Písek;3169;3211
Plzeň-jih;2290;2395
Plzeň-město;7570;7984
Plzeň-sever;3292;3222
Praha;0;0
Praha-východ;3409;4006
Praha-západ;2665;3940
Prachatice;2122;2202
Prostějov;6476;6455
Přerov;9188;9752
Příbram;6779;7460
Rakovník;2739;3057
Rokycany;2081;1888
Rychnov nad Kněžnou;2984;3274
Semily;3955;4380
Sokolov;6757;7145
Strakonice;3954;3967
Svitavy;7045;6623
Šumperk;8722;8904
Tábor;5387;5509
Tachov;4023;3210
Teplice;9171;9161
Trutnov;6286;7324
Třebíč;8429;8148
Uherské Hradiště;7675;7710
Ústí nad Labem;9110;10338
Ústí nad Orlicí;7399;6621
Vsetín;9297;9538
Vyškov;4355;4586
Zlín;9694;9796
Znojmo;9040;8882
Žďár nad Sázavou;6863;6844
