statistics_code,statistics_name,value,date,classification,county_code,county_name,country_code,country_name
non-voters,Non voters,0.36279842656661776,2010,election,benesov,Benešov,cz,Czechia
obcane,Občané,0.0015318905866621663,2010,election,benesov,Benešov,cz,Czechia
liberalove,Liberálové,0.00019473185423671605,2010,election,benesov,Benešov,cz,Czechia
vv,VV,0.06131456983733399,2010,election,benesov,Benešov,cz,Czechia
kons,KONS,0.0001687676070051539,2010,election,benesov,Benešov,cz,Czechia
kscm,KSČM,0.06980487868205482,2010,election,benesov,Benešov,cz,Czechia
kc,KČ,0.0010775162601098288,2010,election,benesov,Benešov,cz,Czechia
csns,ČSNS,0.0,2010,election,benesov,Benešov,cz,Czechia
cssd,ČSSD,0.14811304833244623,2010,election,benesov,Benešov,cz,Czechia
np,NP,0.0,2010,election,benesov,Benešov,cz,Czechia
spr-rsc,SPR-RSČ,0.0007399810460995209,2010,election,benesov,Benešov,cz,Czechia
moravane,Moravané,0.0,2010,election,benesov,Benešov,cz,Czechia
stop,STOP,0.00040244583208921315,2010,election,benesov,Benešov,cz,Czechia
spoz,SPOZ,0.023887107453037168,2010,election,benesov,Benešov,cz,Czechia
top-09,TOP 09,0.1089070350127874,2010,election,benesov,Benešov,cz,Czechia
es,ES,0.0,2010,election,benesov,Benešov,cz,Czechia
kdu-csl,KDU-ČSL,0.02621090758026198,2010,election,benesov,Benešov,cz,Czechia
pb,PB,0.0034532448817977644,2010,election,benesov,Benešov,cz,Czechia
csns,ČSNS,0.0007659452933310831,2010,election,benesov,Benešov,cz,Czechia
zeleni,Zelení,0.013008087863012632,2010,election,benesov,Benešov,cz,Czechia
suverenita,Suverenita,0.02562671201755183,2010,election,benesov,Benešov,cz,Czechia
humaniste,Humanisté,0.0,2010,election,benesov,Benešov,cz,Czechia
pirati,Piráti,0.0053875813005491435,2010,election,benesov,Benešov,cz,Czechia
dsss,DSSS,0.0047384751197600905,2010,election,benesov,Benešov,cz,Czechia
svobodni,Svobodní,0.005504420413091174,2010,election,benesov,Benešov,cz,Czechia
kh,KH,0.0,2010,election,benesov,Benešov,cz,Czechia
ods,ODS,0.13636422646016436,2010,election,benesov,Benešov,cz,Czechia
non-voters,Non voters,0.3490489740901602,2010,election,beroun,Beroun,cz,Czechia
obcane,Občané,0.0021566571813688784,2010,election,beroun,Beroun,cz,Czechia
liberalove,Liberálové,0.00025460536168938144,2010,election,beroun,Beroun,cz,Czechia
vv,VV,0.06568818331586042,2010,election,beroun,Beroun,cz,Czechia
kons,KONS,0.00010483750187209824,2010,election,beroun,Beroun,cz,Czechia
kscm,KSČM,0.08102441216115022,2010,election,beroun,Beroun,cz,Czechia
kc,KČ,0.0010483750187209825,2010,election,beroun,Beroun,cz,Czechia
csns,ČSNS,0.0,2010,election,beroun,Beroun,cz,Czechia
cssd,ČSSD,0.13739703459637562,2010,election,beroun,Beroun,cz,Czechia
np,NP,0.0,2010,election,beroun,Beroun,cz,Czechia
spr-rsc,SPR-RSČ,0.001168189306574809,2010,election,beroun,Beroun,cz,Czechia
moravane,Moravané,0.0,2010,election,beroun,Beroun,cz,Czechia
stop,STOP,0.00044930357945184964,2010,election,beroun,Beroun,cz,Czechia
spoz,SPOZ,0.023588437921222106,2010,election,beroun,Beroun,cz,Czechia
top-09,TOP 09,0.11373371274524487,2010,election,beroun,Beroun,cz,Czechia
es,ES,0.0,2010,election,beroun,Beroun,cz,Czechia
kdu-csl,KDU-ČSL,0.010034446607757975,2010,election,beroun,Beroun,cz,Czechia
pb,PB,0.003205032200089861,2010,election,beroun,Beroun,cz,Czechia
csns,ČSNS,0.0007638160850681444,2010,election,beroun,Beroun,cz,Czechia
zeleni,Zelení,0.015006739553691778,2010,election,beroun,Beroun,cz,Czechia
suverenita,Suverenita,0.028336079077429983,2010,election,beroun,Beroun,cz,Czechia
humaniste,Humanisté,0.0,2010,election,beroun,Beroun,cz,Czechia
pirati,Piráti,0.005137037591732814,2010,election,beroun,Beroun,cz,Czechia
dsss,DSSS,0.0055414108132394784,2010,election,beroun,Beroun,cz,Czechia
svobodni,Svobodní,0.00561629474314812,2010,election,beroun,Beroun,cz,Czechia
kh,KH,0.0,2010,election,beroun,Beroun,cz,Czechia
ods,ODS,0.15069642054815036,2010,election,beroun,Beroun,cz,Czechia
non-voters,Non voters,0.33152015314757965,2010,election,blansko,Blansko,cz,Czechia
obcane,Občané,0.001342375888594474,2010,election,blansko,Blansko,cz,Czechia
