statistics_code,statistics_name,value,date,classification,county_code,county_name,country_code,country_name
non-voters,Non voters,27946,2010,election,benesov,Benešov,cz,Czechia
obcane,Občané,118,2010,election,benesov,Benešov,cz,Czechia
liberalove,Liberálové,15,2010,election,benesov,Benešov,cz,Czechia
vv,VV,4723,2010,election,benesov,Benešov,cz,Czechia
kons,KONS,13,2010,election,benesov,Benešov,cz,Czechia
kscm,KSČM,5377,2010,election,benesov,Benešov,cz,Czechia
kc,KČ,83,2010,election,benesov,Benešov,cz,Czechia
csns,ČSNS,0,2010,election,benesov,Benešov,cz,Czechia
cssd,ČSSD,11409,2010,election,benesov,Benešov,cz,Czechia
np,NP,0,2010,election,benesov,Benešov,cz,Czechia
spr-rsc,SPR-RSČ,57,2010,election,benesov,Benešov,cz,Czechia
moravane,Moravané,0,2010,election,benesov,Benešov,cz,Czechia
stop,STOP,31,2010,election,benesov,Benešov,cz,Czechia
spoz,SPOZ,1840,2010,election,benesov,Benešov,cz,Czechia
top-09,TOP 09,8389,2010,election,benesov,Benešov,cz,Czechia
es,ES,0,2010,election,benesov,Benešov,cz,Czechia
kdu-csl,KDU-ČSL,2019,2010,election,benesov,Benešov,cz,Czechia
pb,PB,266,2010,election,benesov,Benešov,cz,Czechia
csns,ČSNS,59,2010,election,benesov,Benešov,cz,Czechia
zeleni,Zelení,1002,2010,election,benesov,Benešov,cz,Czechia
suverenita,Suverenita,1974,2010,election,benesov,Benešov,cz,Czechia
humaniste,Humanisté,0,2010,election,benesov,Benešov,cz,Czechia
pirati,Piráti,415,2010,election,benesov,Benešov,cz,Czechia
dsss,DSSS,365,2010,election,benesov,Benešov,cz,Czechia
svobodni,Svobodní,424,2010,election,benesov,Benešov,cz,Czechia
kh,KH,0,2010,election,benesov,Benešov,cz,Czechia
ods,ODS,10504,2010,election,benesov,Benešov,cz,Czechia
non-voters,Non voters,23306,2010,election,beroun,Beroun,cz,Czechia
obcane,Občané,144,2010,election,beroun,Beroun,cz,Czechia
liberalove,Liberálové,17,2010,election,beroun,Beroun,cz,Czechia
vv,VV,4386,2010,election,beroun,Beroun,cz,Czechia
kons,KONS,7,2010,election,beroun,Beroun,cz,Czechia
kscm,KSČM,5410,2010,election,beroun,Beroun,cz,Czechia
kc,KČ,70,2010,election,beroun,Beroun,cz,Czechia
csns,ČSNS,0,2010,election,beroun,Beroun,cz,Czechia
cssd,ČSSD,9174,2010,election,beroun,Beroun,cz,Czechia
np,NP,0,2010,election,beroun,Beroun,cz,Czechia
spr-rsc,SPR-RSČ,78,2010,election,beroun,Beroun,cz,Czechia
moravane,Moravané,0,2010,election,beroun,Beroun,cz,Czechia
stop,STOP,30,2010,election,beroun,Beroun,cz,Czechia
spoz,SPOZ,1575,2010,election,beroun,Beroun,cz,Czechia
top-09,TOP 09,7594,2010,election,beroun,Beroun,cz,Czechia
es,ES,0,2010,election,beroun,Beroun,cz,Czechia
kdu-csl,KDU-ČSL,670,2010,election,beroun,Beroun,cz,Czechia
pb,PB,214,2010,election,beroun,Beroun,cz,Czechia
csns,ČSNS,51,2010,election,beroun,Beroun,cz,Czechia
zeleni,Zelení,1002,2010,election,beroun,Beroun,cz,Czechia
suverenita,Suverenita,1892,2010,election,beroun,Beroun,cz,Czechia
humaniste,Humanisté,0,2010,election,beroun,Beroun,cz,Czechia
pirati,Piráti,343,2010,election,beroun,Beroun,cz,Czechia
dsss,DSSS,370,2010,election,beroun,Beroun,cz,Czechia
svobodni,Svobodní,375,2010,election,beroun,Beroun,cz,Czechia
kh,KH,0,2010,election,beroun,Beroun,cz,Czechia
ods,ODS,10062,2010,election,beroun,Beroun,cz,Czechia
non-voters,Non voters,28401,2010,election,blansko,Blansko,cz,Czechia
obcane,Občané,115,2010,election,blansko,Blansko,cz,Czechia
liberalove,Liberálové,0,2010,election,blansko,Blansko,cz,Czechia
vv,VV,6275,2010,election,blansko,Blansko,cz,Czechia
kons,KONS,83,2010,election,blansko,Blansko,cz,Czechia
kscm,KSČM,7790,2010,election,blansko,Blansko,cz,Czechia
kc,KČ,59,2010,election,blansko,Blansko,cz,Czechia
csns,ČSNS,0,2010,election,blansko,Blansko,cz,Czechia
