Praha,1243201,175353,842806,225042,42,,0.141,0.678,0.181
Benešov,96273,14991,64516,16766,41.5,,0.156,0.670,0.174
Beroun,87964,14432,58751,14781,40.8,,0.164,0.668,0.168
Kladno,160767,25345,108057,27365,41.1,,0.158,0.672,0.170
Kolín,97705,15395,65186,17124,41.3,,0.158,0.667,0.175
Kutná Hora,74237,10575,50137,13525,42.2,,0.142,0.675,0.182
Mělník,104151,16569,70524,17058,40.7,,0.159,0.677,0.164
Mladá Boleslav,124943,19405,85531,20007,40.7,,0.155,0.685,0.160
Nymburk,95963,16030,64039,15894,40.5,,0.167,0.667,0.166
Praha-východ,159765,31255,106521,21989,38.3,,0.196,0.667,0.138
Praha-západ,131206,25699,87286,18221,38.5,,0.196,0.665,0.139
Příbram,114033,16878,77399,19756,41.7,,0.148,0.679,0.173
Rakovník,55329,8078,37707,9544,41.7,,0.146,0.682,0.172
České Budějovice,188965,29004,127984,31977,41.3,,0.153,0.677,0.169
Český Krumlov,61173,9880,42056,9237,40.2,,0.162,0.687,0.151
Jindřichův Hradec,92002,13523,61991,16488,41.9,,0.147,0.674,0.179
Písek,70504,10163,46808,13533,42.6,,0.144,0.664,0.192
Prachatice,50938,7870,34806,8262,41,,0.155,0.683,0.162
Strakonice,70514,10342,47538,12634,42,,0.147,0.674,0.179
Tábor,102611,15108,68380,19123,42.3,,0.147,0.666,0.186
Domažlice,60923,9382,41299,10242,41.3,,0.154,0.678,0.168
Klatovy,87056,12655,58218,16183,42.4,,0.145,0.669,0.186
Plzeň-město,186077,26157,123942,35978,42.7,,0.141,0.666,0.193
Plzeň-jih,62110,9142,42018,10950,41.8,,0.147,0.677,0.176
Plzeň-sever,76673,11931,52177,12565,40.9,,0.156,0.681,0.164
Rokycany,47799,6905,32153,8741,42.1,,0.144,0.673,0.183
Tachov,52831,7929,37157,7745,40.4,,0.150,0.703,0.147
Cheb,92211,14133,62914,15164,41.2,,0.153,0.682,0.164
Karlovy Vary,117297,16531,79859,20907,42.3,,0.141,0.681,0.178
Sokolov,90801,13816,62614,14371,40.7,,0.152,0.690,0.158
Děčín,131975,20955,88565,22455,41.1,,0.159,0.671,0.170
Chomutov,124963,19286,87031,18646,40.4,,0.154,0.696,0.149
Litoměřice,119070,18470,80054,20546,41.3,,0.155,0.672,0.173
Louny,86378,13573,58946,13859,40.8,,0.157,0.682,0.160
Most,114419,17397,78557,18465,40.9,,0.152,0.687,0.161
Teplice,128796,19939,87526,21331,41,,0.155,0.680,0.166
Ústí nad Labem,119519,19180,80307,20032,40.8,,0.160,0.672,0.168
Česká Lípa,102811,16268,70837,15706,40.3,,0.158,0.689,0.153
Jablonec nad Nisou,90028,13739,60410,15879,41.5,,0.153,0.671,0.176
Liberec,171385,27239,115305,28841,40.9,,0.159,0.673,0.168
Semily,74385,10950,49474,13961,42.2,,0.147,0.665,0.188
Hradec Králové,162651,23667,107669,31315,42.5,,0.146,0.662,0.193
Jičín,79168,11688,53155,14325,42,,0.148,0.671,0.181
Náchod,111595,16994,73856,20745,41.9,,0.152,0.662,0.186
Rychnov nad Kněžnou,78933,12111,52899,13923,41.5,,0.153,0.670,0.176
Trutnov,119562,17816,80355,21391,41.9,,0.149,0.672,0.179
Chrudim,104043,15513,70159,18371,41.6,,0.149,0.674,0.177
Pardubice,168569,24980,113199,30390,41.9,,0.148,0.672,0.180
Svitavy,104622,15900,70776,17946,41.2,,0.152,0.676,0.172
Ústí nad Orlicí,138751,21543,93452,23756,41.1,,0.155,0.674,0.171
Havlíčkův Brod,94843,13953,63770,17120,41.9,,0.147,0.672,0.181
Jihlava,112220,17146,75895,19179,41.2,,0.153,0.676,0.171
Pelhřimov,72224,10231,48084,13909,42.5,,0.142,0.666,0.193
Třebíč,112372,16208,76759,19405,41.6,,0.144,0.683,0.173
Žďár nad Sázavou,118550,17950,79942,20658,41.1,,0.151,0.674,0.174
Blansko,107746,16267,72173,19306,41.5,,0.151,0.670,0.179
Brno-město,377508,53479,251000,73029,42.5,,0.142,0.665,0.193
Brno-venkov,210729,34664,140739,35326,40.6,,0.164,0.668,0.168
Břeclav,114978,16553,79212,19213,41.5,,0.144,0.689,0.167
Hodonín,155742,21431,107277,27034,42,,0.138,0.689,0.174
Vyškov,90041,13670,61299,15072,41.2,,0.152,0.681,0.167
Znojmo,113334,16822,77716,18796,41.2,,0.148,0.686,0.166
Jeseník,39910,5645,27422,6843,42,,0.141,0.687,0.171
Olomouc,232474,35211,157103,40160,41.4,,0.151,0.676,0.173
Prostějov,109223,16365,73028,19830,41.9,,0.150,0.669,0.182
Přerov,132014,18867,89164,23983,42,,0.143,0.675,0.182
Šumperk,122735,17966,83146,21623,41.8,,0.146,0.677,0.176
Kroměříž,106692,15200,72421,19071,42.1,,0.142,0.679,0.179
Uherské Hradiště,143129,20212,97157,25760,42.1,,0.141,0.679,0.180
Vsetín,144362,21389,97760,25213,41.5,,0.148,0.677,0.175
Zlín,192116,27753,129870,34493,42.1,,0.144,0.676,0.180
Bruntál,95172,13725,65545,15902,41.5,,0.144,0.689,0.167
Frýdek-Místek,212537,31851,145382,35304,41.2,,0.150,0.684,0.166
Karviná,258340,36140,177379,44821,41.9,,0.140,0.687,0.173
Nový Jičín,151899,23183,104007,24709,40.9,,0.153,0.685,0.163
Opava,177010,26662,121277,29071,41.2,,0.151,0.685,0.164
Ostrava-město,326874,47228,221987,57659,41.8,,0.144,0.679,0.176
