county_code,jobbik,fidesz-kdnp
fejer,0,0
komarom-esztergom,0,0
bekes,0,0
budapest,0,-1
hajdu-bihar,0,0
bacs-kiskun,0,0
borsod-abauj-zemplen,1,0
heves,1,0
szabolcs-szatmar-bereg,1,0
jasz-nagykun-szolnok,1,0
baranya,0,0
csongrad,0,0
veszprem,0,-1
nograd,-1,0
zala,0,-1
pest,0,0
vas,0,-1
somogy,0,0
gyor-moson-sopron,0,0
tolna,0,0
