Benešov,Sum - VOLICI,29624
,Sum - Česká strana sociálně demokratická,9703
,Sum - Strana svobodných občanů,1184
,Sum - Česká pirátská strana,1228
,Sum - TOP 09,5586
,Sum - HLAVU VZHŮRU - volební blok,215
,Sum - Občanská demokratická strana,3717
,Sum - Romská demokratická strana,14
,Sum - Klub angažovaných nestraníků,0
,Sum - politické hnutí Změna,246
,Sum - Strana soukromníků České republiky,159
,Sum - Křesťanská a demokratická unie - Československá strana lidová,3033
,Sum - Pravý Blok,0
,Sum - Suverenita,189
,Sum - Aktiv nezávislých občanů,32
,Sum - Strana Práv Občanů ZEMANOVCI,532
,Sum - OBČANÉ 2011,0
,Sum - Úsvit přímé demokracie Tomia Okamury,3566
,Sum - Dělnická strana sociální spravedlnosti,350
,Sum - ANO 2011,9854
,Sum - LEV 21 - Národní socialisté,35
,Sum - Strana zelených,1369
,Sum - Komunistická strana Čech a Moravy,7362
,Sum - Koruna Česká,118
Beroun,Sum - VOLICI,26552
,Sum - Česká strana sociálně demokratická,8402
,Sum - Strana svobodných občanů,1043
,Sum - Česká pirátská strana,1211
,Sum - TOP 09,5860
,Sum - HLAVU VZHŮRU - volební blok,238
,Sum - Občanská demokratická strana,3792
,Sum - Romská demokratická strana,33
,Sum - Klub angažovaných nestraníků,0
,Sum - politické hnutí Změna,221
,Sum - Strana soukromníků České republiky,133
,Sum - Křesťanská a demokratická unie - Československá strana lidová,1395
,Sum - Pravý Blok,0
,Sum - Suverenita,143
,Sum - Aktiv nezávislých občanů,32
,Sum - Strana Práv Občanů ZEMANOVCI,404
,Sum - OBČANÉ 2011,0
,Sum - Úsvit přímé demokracie Tomia Okamury,2393
,Sum - Dělnická strana sociální spravedlnosti,287
,Sum - ANO 2011,8469
,Sum - LEV 21 - Národní socialisté,26
,Sum - Strana zelených,1465
,Sum - Komunistická strana Čech a Moravy,6771
,Sum - Koruna Česká,105
Blansko,Sum - VOLICI,31520
,Sum - Česká strana sociálně demokratická,14645
,Sum - Strana svobodných občanů,1062
,Sum - Česká pirátská strana,1352
,Sum - TOP 09,3882
,Sum - HLAVU VZHŮRU - volební blok,104
,Sum - Občanská demokratická strana,3098
,Sum - Romská demokratická strana,0
,Sum - Klub angažovaných nestraníků,0
,Sum - politické hnutí Změna,175
,Sum - Strana soukromníků České republiky,163
,Sum - Křesťanská a demokratická unie - Československá strana lidová,6988
,Sum - Pravý Blok,0
,Sum - Suverenita,121
,Sum - Aktiv nezávislých občanů,0
,Sum - Strana Práv Občanů ZEMANOVCI,962
,Sum - OBČANÉ 2011,0
,Sum - Úsvit přímé demokracie Tomia Okamury,3484
,Sum - Dělnická strana sociální spravedlnosti,333
,Sum - ANO 2011,8805
,Sum - LEV 21 - Národní socialisté,17
,Sum - Strana zelených,1395
,Sum - Komunistická strana Čech a Moravy,8930
,Sum - Koruna Česká,78
Břeclav,Sum - VOLICI,41567
,Sum - Česká strana sociálně demokratická,12172
,Sum - Strana svobodných občanů,1330
,Sum - Česká pirátská strana,1114
,Sum - TOP 09,4225
,Sum - HLAVU VZHŮRU - volební blok,136
