Benešov,Sum - VOLICI,27946
,Sum - OBČANÉ.CZ,118
,Sum - Liberálové.CZ,15
,Sum - Věci veřejné,4723
,Sum - Konzervativní strana,13
,Sum - Komunistická str.Čech a Moravy,5377
,Sum - Koruna Česká (monarch.strana),83
,Sum - Česká strana národně sociální,0
,Sum - Česká str.sociálně demokrat.,11409
,Sum - NÁRODNÍ PROSPERITA,0
,Sum - Sdruž.pro rep.-Republ.str.Čsl.,57
,Sum - Moravané,0
,Sum - STOP,31
,Sum - Strana Práv Občanů ZEMANOVCI,1840
,Sum - TOP 09,8389
,Sum - EVROPSKÝ STŘED,0
,Sum - Křesť.demokr.unie-Čs.str.lid.,2019
,Sum - Volte Pr.Blok www.cibulka.net,266
,Sum - Česká str.národ.socialistická,59
,Sum - Strana zelených,1002
,Sum - Suverenita-blok J.Bobošíkové,1974
,Sum - Humanistická strana,0
,Sum - Česká pirátská strana,415
,Sum - Dělnic.str.sociální spravedl.,365
,Sum - Strana svobodných občanů,424
,Sum - Klíčové hnutí,0
,Sum - Občanská demokratická strana,10504
Beroun,Sum - VOLICI,23306
,Sum - OBČANÉ.CZ,144
,Sum - Liberálové.CZ,17
,Sum - Věci veřejné,4386
,Sum - Konzervativní strana,7
,Sum - Komunistická str.Čech a Moravy,5410
,Sum - Koruna Česká (monarch.strana),70
,Sum - Česká strana národně sociální,0
,Sum - Česká str.sociálně demokrat.,9174
,Sum - NÁRODNÍ PROSPERITA,0
,Sum - Sdruž.pro rep.-Republ.str.Čsl.,78
,Sum - Moravané,0
,Sum - STOP,30
,Sum - Strana Práv Občanů ZEMANOVCI,1575
,Sum - TOP 09,7594
,Sum - EVROPSKÝ STŘED,0
,Sum - Křesť.demokr.unie-Čs.str.lid.,670
,Sum - Volte Pr.Blok www.cibulka.net,214
,Sum - Česká str.národ.socialistická,51
,Sum - Strana zelených,1002
,Sum - Suverenita-blok J.Bobošíkové,1892
,Sum - Humanistická strana,0
,Sum - Česká pirátská strana,343
,Sum - Dělnic.str.sociální spravedl.,370
,Sum - Strana svobodných občanů,375
,Sum - Klíčové hnutí,0
,Sum - Občanská demokratická strana,10062
Blansko,Sum - VOLICI,28401
,Sum - OBČANÉ.CZ,115
,Sum - Liberálové.CZ,0
,Sum - Věci veřejné,6275
,Sum - Konzervativní strana,83
,Sum - Komunistická str.Čech a Moravy,7790
,Sum - Koruna Česká (monarch.strana),59
,Sum - Česká strana národně sociální,0
,Sum - Česká str.sociálně demokrat.,14780
,Sum - NÁRODNÍ PROSPERITA,0
,Sum - Sdruž.pro rep.-Republ.str.Čsl.,0
,Sum - Moravané,318
,Sum - STOP,19
,Sum - Strana Práv Občanů ZEMANOVCI,2665
,Sum - TOP 09,6349
,Sum - EVROPSKÝ STŘED,0
,Sum - Křesť.demokr.unie-Čs.str.lid.,5935
,Sum - Volte Pr.Blok www.cibulka.net,232
,Sum - Česká str.národ.socialistická,49
,Sum - Strana zelených,1146
,Sum - Suverenita-blok J.Bobošíkové,1445
,Sum - Humanistická strana,0
,Sum - Česká pirátská strana,411
,Sum - Dělnic.str.sociální spravedl.,447
,Sum - Strana svobodných občanů,274
,Sum - Klíčové hnutí,0
,Sum - Občanská demokratická strana,8876
Břeclav,Sum - VOLICI,38976
,Sum - OBČANÉ.CZ,123
,Sum - Liberálové.CZ,0
,Sum - Věci veřejné,5209
,Sum - Konzervativní strana,91
,Sum - Komunistická str.Čech a Moravy,7476
,Sum - Koruna Česká (monarch.strana),117
,Sum - Česká strana národně sociální,0
,Sum - Česká str.sociálně demokrat.,12650
,Sum - NÁRODNÍ PROSPERITA,0
,Sum - Sdruž.pro rep.-Republ.str.Čsl.,0
,Sum - Moravané,632
,Sum - STOP,23
,Sum - Strana Práv Občanů ZEMANOVCI,2035
,Sum - TOP 09,8176
,Sum - EVROPSKÝ STŘED,0
,Sum - Křesť.demokr.unie-Čs.str.lid.,4506
,Sum - Volte Pr.Blok www.cibulka.net,245
,Sum - Česká str.národ.socialistická,47
,Sum - Strana zelených,927
,Sum - Suverenita-blok J.Bobošíkové,1713
,Sum - Humanistická strana,0
,Sum - Česká pirátská strana,336
,Sum - Dělnic.str.sociální spravedl.,500
,Sum - Strana svobodných občanů,257
,Sum - Klíčové hnutí,0
,Sum - Občanská demokratická strana,10284
Brno-město,Sum - VOLICI,115821
,Sum - OBČANÉ.CZ,421
,Sum - Liberálové.CZ,0
,Sum - Věci veřejné,18227
,Sum - Konzervativní strana,129
,Sum - Komunistická str.Čech a Moravy,15255
,Sum - Koruna Česká (monarch.strana),172
,Sum - Česká strana národně sociální,0
,Sum - Česká str.sociálně demokrat.,42911
,Sum - NÁRODNÍ PROSPERITA,0
,Sum - Sdruž.pro rep.-Republ.str.Čsl.,0
,Sum - Moravané,1266
,Sum - STOP,58
,Sum - Strana Práv Občanů ZEMANOVCI,8655
,Sum - TOP 09,40124
,Sum - EVROPSKÝ STŘED,0
,Sum - Křesť.demokr.unie-Čs.str.lid.,12837
,Sum - Volte Pr.Blok www.cibulka.net,547
,Sum - Česká str.národ.socialistická,132
,Sum - Strana zelených,7022
,Sum - Suverenita-blok J.Bobošíkové,4716
,Sum - Humanistická strana,0
,Sum - Česká pirátská strana,1611
,Sum - Dělnic.str.sociální spravedl.,1692
,Sum - Strana svobodných občanů,1430
,Sum - Klíčové hnutí,0
,Sum - Občanská demokratická strana,44300
Brno-venkov,Sum - VOLICI,53510
,Sum - OBČANÉ.CZ,283
,Sum - Liberálové.CZ,0
,Sum - Věci veřejné,10915
,Sum - Konzervativní strana,56
,Sum - Komunistická str.Čech a Moravy,12306
,Sum - Koruna Česká (monarch.strana),156
,Sum - Česká strana národně sociální,0
,Sum - Česká str.sociálně demokrat.,24345
,Sum - NÁRODNÍ PROSPERITA,0
,Sum - Sdruž.pro rep.-Republ.str.Čsl.,0
,Sum - Moravané,840
,Sum - STOP,56
,Sum - Strana Práv Občanů ZEMANOVCI,4627
,Sum - TOP 09,16802
,Sum - EVROPSKÝ STŘED,0
,Sum - Křesť.demokr.unie-Čs.str.lid.,9326
,Sum - Volte Pr.Blok www.cibulka.net,418
,Sum - Česká str.národ.socialistická,96
,Sum - Strana zelených,2062
,Sum - Suverenita-blok J.Bobošíkové,2974
,Sum - Humanistická strana,0
,Sum - Česká pirátská strana,766
,Sum - Dělnic.str.sociální spravedl.,963
,Sum - Strana svobodných občanů,580
,Sum - Klíčové hnutí,0
