county_code,ano,kdu-csl,top-09,kscm,cssd
kutna-hora,0,0,0,0,0
klatovy,0,0,0,0,0
kromeriz,0,0,0,0,0
louny,0,0,0,1,0
mlada-boleslav,0,0,0,0,0
ostrava-mesto,0,0,0,0,0
brno-venkov,0,0,0,0,0
ceska-lipa,0,0,0,-1,0
chrudim,1,1,0,0,0
pardubice,1,1,0,0,0
prachatice,0,0,0,0,0
havlickuv-brod,0,0,0,0,0
hodonin,0,0,0,0,0
znojmo,0,0,0,0,-1
teplice,0,0,0,0,0
nymburk,-1,0,0,0,0
plzen-jih,0,0,0,0,0
domazlice,0,0,0,-1,0
rakovnik,0,0,0,1,0
karvina,0,0,0,0,1
jicin,0,0,1,0,0
nachod,0,0,0,0,0
praha,0,0,1,0,0
zlin,0,0,0,0,0
decin,0,0,0,-1,0
kolin,0,0,0,0,0
jihlava,0,0,0,0,0
litomerice,0,0,0,0,0
uherske-hradiste,0,0,0,0,0
tachov,0,0,0,-1,0
kladno,0,0,0,0,0
novy-jicin,0,0,0,0,0
zdar-nad-sazavou,0,0,0,0,0
brno-mesto,0,-1,1,0,0
karlovy-vary,0,0,0,0,0
praha-zapad,-1,0,1,0,0
breclav,0,0,0,0,0
benesov,0,0,0,0,0
chomutov,0,0,0,-1,0
prostejov,0,0,0,0,0
olomouc,0,0,0,0,0
bruntal,0,0,0,0,0
pribram,0,0,0,0,0
melnik,0,0,1,0,0
plzen-sever,0,0,0,0,0
semily,0,0,1,0,0
most,0,0,0,0,0
jindrichuv-hradec,0,0,0,0,0
pelhrimov,0,-1,0,0,1
cesky-krumlov,0,0,0,0,0
liberec,0,0,1,0,0
hradec-kralove,0,0,1,0,0
praha-vychod,1,1,1,0,0
usti-nad-orlici,0,0,1,0,0
cheb,0,0,0,-1,0
trebic,0,0,0,0,0
svitavy,0,0,0,0,-1
frydek-mistek,0,0,0,0,0
vsetin,0,0,0,0,0
jesenik,0,0,0,0,0
usti-nad-labem,0,0,0,0,0
beroun,-1,0,1,0,0
plzen-mesto,0,0,1,0,0
vyskov,0,0,0,0,1
opava,0,0,0,0,0
jablonec-nad-nisou,0,0,1,0,0
ceske-budejovice,0,0,1,0,0
strakonice,0,0,0,0,0
prerov,0,0,0,0,0
rychnov-nad-kneznou,0,0,0,0,0
trutnov,0,0,0,0,0
tabor,0,0,0,0,0
pisek,0,0,1,0,0
sumperk,0,0,0,0,0
rokycany,0,0,0,0,0
sokolov,0,0,0,-1,0
blansko,0,0,0,0,1
