benesov,77029
beroun,66770
blansko,85669
breclav,94323
brno-mesto,317326
brno-venkov,160547
bruntal,79490
ceska-lipa,83437
ceske-budejovice,150408
cesky-krumlov,48586
cheb,72597
chomutov,100362
chrudim,84573
decin,105658
domazlice,48083
frydek-mistek,171367
havlickuv-brod,77506
hodonin,129183
hradec-kralove,131463
jablonec-nad-nisou,72038
jesenik,33734
jicin,65104
jihlava,90118
jindrichuv-hradec,76590
karlovy-vary,95353
karvina,220121
kladno,126230
klatovy,71956
kolin,76636
kromeriz,88443
kutna-hora,60529
liberec,134399
litomerice,94847
louny,70203
melnik,80389
mlada-boleslav,94133
most,92982
nachod,90321
novy-jicin,122651
nymburk,73397
olomouc,188707
opava,144619
ostrava-mesto,273013
pardubice,134147
pelhrimov,59106
pisek,57911
plzen-jih,49073
plzen-mesto,148523
plzen-sever,60380
prachatice,41707
praha,943459
praha-vychod,107418
praha-zapad,88074
prerov,108850
pribram,92384
prostejov,89244
rakovnik,43981
rokycany,38401
rychnov-nad-kneznou,63588
semily,61042
sokolov,75224
strakonice,57005
sumperk,101650
svitavy,84487
tabor,84420
tachov,41328
teplice,103182
trebic,91936
trutnov,97923
uherske-hradiste,117547
usti-nad-labem,94941
usti-nad-orlici,110253
vsetin,118783
vyskov,71633
zdar-nad-sazavou,96252
zlin,159066
znojmo,91417
