county_code,unemployment,0-14,65-,magyar-demokrata-forum,fidesz-kdnp,lmp,mszdp,jobbik,mdf,lehet-mas-a-politika,mszp,non-voters,magyar-szocialista-part,civil-mozgalom,civilek,osszefogas-part-baz-m-i-lista,munkaspart,miep
nograd,18.3,0.3166685963,0.3166685963,,0.5730283862,,,0.2301628233,,0.0615928682,0.2253528539,0,,,,,0.0151666649,
hajdu-bihar,13.2,0.3334698261,0.3334698261,,0.5987615214,,0.0029667859,0.1949773242,0.0242248886,0.0522393825,0.1451716332,0,,0.0154597359,,,,
bacs-kiskun,10.3,0.3142752889,0.3142752889,0.0238759376,0.6470910197,,,0.1680437867,,0.059764849,0.1564848976,0,,0.0152726536,,,,
pest,8.8,0.3501116877,0.3501116877,0.0293105938,0.5638811269,,,0.1761336516,,0.0890274251,,0,0.1874128369,0.0200986929,,,,
csongrad,8.8,0.3057633953,0.3057633953,0.0277829738,0.5485877291,,,0.1722835349,,0.082829322,0.2203776448,0,,0.0266814233,,,,0.0030240678
komarom-esztergom,8.6,0.3194222623,0.3194222623,0.0340393028,0.5503853899,,,0.1475661412,,0.0897784876,,0,0.2508714673,,,,,
jasz-nagykun-szolnok,10.7,0.3211565172,0.3211565172,0.0224619124,0.5205900864,,,0.2529026867,,0.0595240679,0.188305699,0,,,,,0.0096304093,
szabolcs-szatmar-bereg,18.1,0.3664040048,0.3664040048,,0.5524427552,,0.0030926115,0.2425994252,0.0186001669,0.0293464355,,0,0.1522647631,0.0250672105,,,0.0027403356,
zala,12.1,0.2808858246,0.2808858246,,0.6389777794,,0.0064600742,0.1888934687,0.0295424739,0.0647955934,,0,0.1881590287,,,,,
gyor-moson-sopron,7,0.2986370919,0.2986370919,0.0316787778,0.63986908,,,0.1347943244,,0.0677781705,0.1808182957,0,,0.0171545563,,,,
borsod-abauj-zemplen,17.3,0.3530553103,0.3530553103,,0.4858428378,,0.0051398614,0.2880747752,0.0194866979,0.0445205905,,0,0.2002058432,,,0.0084949192,0.0051336426,0.0021890275
somogy,14,0.3067704093,0.3067704093,,0.6332661586,,,0.1511564281,,0.0678842638,,0,0.2096518037,,,,,
tolna,8.4,0.3023087957,0.3023087957,0.0275648464,0.6359375428,,,0.1673351545,,0.059085801,0.1938218929,0,,,,,,
baranya,13.4,0.3142081131,0.3142081131,0.0306952162,0.5924922076,,,0.1377614401,,0.0966650856,0.2288702173,0,,,,,,
heves,12.3,0.3175081217,0.3175081217,,0.5161249843,,,0.2815841943,0.0246510785,0.0681041815,,0,0.2370505152,,,,,
budapest,9,0.2708154958,0.2708154958,0.0548475631,0.5407834658,,,0.1403079307,,0.1651928303,0.2533051874,0,,,,,,
veszprem,12,0.2974299329,0.2974299329,,0.6411697336,,,0.1655441291,0.0292967475,0.080709958,0.2123168582,0,,,,,,
bekes,12.4,0.2981881775,0.2981881775,,0.5826154544,,,0.2103527666,0.0224578841,0.0570456165,0.2020915156,0,,0.0206678482,,,,
fejer,9.4,0.3093606294,0.3093606294,0.0293442833,0.5908786545,0.075960336,,0.1767402243,,,0.195361043,0,,,0.0226236546,,,
vas,10.3,0.2897044415,0.2897044415,,0.7160760941,,,0.1378837361,,0.0727220771,,0,0.1934928152,0.0206156107,,,,
