county_code,unemployment,0-14,65-,no-education,primary,tertiary,religious,kan,zeleni,svobodni,pb,kdu-csl,suverenita,lev,spoz,non-voters,kscm,ano,hlavu-vzhuru,soukromnici,pirati,ods,usvit,dsss,zmena,aneo,kc,obcane-2011,cssd,rds,top-09
kutna-hora,10.48,0.138,0.164,0.0055141250078998925,0.18351450420274285,0.08994817670479681,0.10668355947904747,0.0,0.01294838720278686,0.012915523275876235,0.0,0.026488325089965,0.002103291322280099,0.0003943671229275186,0.007262927847248467,0.39702910100727934,0.1028476592668058,0.11405425834332944,0.004666677621308971,0.001495308674433508,0.016037596332385756,0.03979821548876875,0.043363951558571735,0.0037136237409008004,0.0021854511395566654,0.000295775342195639,0.001314557076425062,0.0,0.15189707018091592,0.000476526940204085,0.058711405425834334
klatovy,9.07,0.141,0.165,0.0033317014795474324,0.18880548302872063,0.08971116187989556,0.1417306301472132,0.0,0.011707467541572026,0.010655898600712263,0.0,0.04012787078320855,0.002523765458063431,0.0006449622837273212,0.005874765149603208,0.40476991671573986,0.09709486553938476,0.10679734163371751,0.0018788031743361094,0.0018227194974902554,0.019671349653683296,0.06341661759344942,0.03233223970163484,0.005790639634334427,0.0031687277417907517,0.0,0.0015703429516839124,0.0,0.12660890047951542,0.0,0.0635428058663526
kromeriz,11.59,0.137,0.162,0.005370663849269238,0.18453953160767742,0.10292304983271702,0.22641116236774053,0.0,0.011559973732478884,0.013586648853060393,0.0,0.060766286995312606,0.0013813093000611398,0.0004189216729693621,0.013269627046488984,0.3887253458934354,0.10383596385951405,0.11413917257308485,0.001483209166459093,0.00104164307873463,0.0103937863725912,0.030717148615294038,0.07015239691130183,0.004223183351826272,0.0013360204705509385,0.0,0.0016530422771223478,0.0,0.13009216276805327,0.0,0.04122415706166074
louny,13.29,0.154,0.140,0.008387543252595156,0.22202076124567474,0.07526643598615917,0.06018241363524316,0.0,0.01097708942973378,0.011305402897723218,0.0,0.01097708942973378,0.001955606309328385,0.0010848618942259653,0.008364856184426521,0.4635072443080437,0.12889872243237457,0.10770109199914353,0.0019841553065448577,0.002926272214688459,0.011662265362929128,0.03288844479337663,0.03905502819213475,0.008307758189993577,0.00236956676896724,0.0,0.0012847048747412747,0.0,0.1115694811219756,0.0,0.043180358289915066
mlada-boleslav,5.07,0.146,0.143,0.004383058484957495,0.16708635477213776,0.0918738285021868,0.06538949854034078,0.0,0.01999600290315455,0.013590129274526923,0.0,0.015567640345433316,0.003071453365450357,0.0004312657122721392,0.0051962258990838235,0.4099759122321682,0.0809306924444351,0.12026002166847237,0.0038287980309038698,0.0017250628490885567,0.015472972262251628,0.0660678033849099,0.047313004239026395,0.004670292103629995,0.0026296689772691414,0.00039970968454490946,0.0011149796463621158,0.0,0.11772502077438492,0.0003576349809086032,0.06967570922172317
ostrava-mesto,12.77,0.141,0.158,0.005191198461867123,0.18641315958128604,0.143562629067863,0.1256771098528302,0.0,0.014842017532109956,0.010585495081186468,0.0,0.028817103481120983,0.0008297242190174279,0.0003237040675090414,0.011411498563795747,0.46433302079147504,0.09316723966007352,0.09785908827075054,0.00524995907189951,0.0006213629801610335,0.012862585762974207,0.03227366760429224,0.04070113556875177,0.008475837537765474,0.0028798499799080235,0.0,0.0008966974743641261,0.0,0.13668125195338662,0.0,0.03718876039945826
brno-venkov,8.24,0.156,0.156,0.0031695357089539383,0.17544987884564592,0.1258340127929811,0.20612215220552593,0.0,0.018521857233860985,0.016460534381422854,0.0,0.06673758098054063,0.0012019375232875395,0.0003004843808218849,0.009453238620656498,0.3609899157441796,0.09168980396398996,0.11546412817461749,0.0017608384716162454,0.001430305652712172,0.015288645296217502,0.04268681113955697,0.041911561437036504,0.004519285087561149,0.0018449740982463732,0.0,0.0012379956489861658,0.0,0.13927451051094364,0.0,0.06922559165374584
ceska-lipa,11.87,0.158,0.125,0.006679288326532532,0.2042592222392079,0.06885076259128164,0.051510580015085954,0.0,0.014465288106318669,0.010782996689536055,0.0,0.010890946600777239,0.0020630427481648514,0.0004078107758000288,0.006321067024900446,0.48536678980952835,0.10095715587967183,0.10857362183946649,0.002590797869788418,0.0017271985798589455,0.01728398023317181,0.02919445377344912,0.04349181979561483,0.006872811015688721,0.006476994674471046,0.0,0.0,0.0,0.09957779590270115,0.0009235714628412417,0.05203185721825073
chrudim,10.26,0.147,0.160,0.006360311655271109,0.18703859346250823,0.08495559139540694,0.1505537844358957,0.0008260561718196837,0.012921878687750767,0.013629926835024782,0.0,0.04761623790417748,0.00240736370073165,0.0003186216662733066,0.015718668869483126,0.3806348831720557,0.10099126740618362,0.139155062544253,0.002218550861458579,0.0016875147510030683,0.015683266462119424,0.04070096766580127,0.03886004248288884,0.0060302100542836915,0.002537172527731886,0.0,0.0007080481472740147,0.0,0.12379041774840689,0.0,0.05356384234127921
pardubice,7.16,0.140,0.165,0.0029493036749150695,0.15192359374030967,0.127137039257437,0.09368672924719308,0.0007319113341698034,0.0189400728923941,0.016706996474876022,0.0,0.030658122722112685,0.0015907868793690627,0.0005003883611160901,0.011157913604588636,0.3772256079345163,0.08651490709207146,0.13874200872318815,0.00227788731552847,0.002852960506661887,0.01636344625679632,0.04793272390512039,0.0382012905538627,0.00547439804027006,0.0039582959909183245,0.0,0.0008588755451992592,0.0,0.12399175479476608,0.0,0.07531965107247415
prachatice,7.54,0.151,0.142,0.00612369871402327,0.20010363182439117,0.08521362287436997,0.1506498700259948,0.0,0.012025012025012025,0.013708513708513708,0.0,0.041534391534391535,0.0017556517556517556,0.00016835016835016836,0.006421356421356422,0.4338864838864839,0.10298220298220298,0.0874939874939875,0.0021164021164021165,0.002837902837902838,0.012938912938912939,0.05055315055315055,0.041606541606541605,0.005555555555555556,0.0032227032227032226,0.0,0.0012506012506012505,0.0,0.11878306878306878,0.0,0.061159211159211156
