id,latitude,longitude,name,population
benesov,49.7818921,14.6869121,Benešov,95459
beroun,49.9640292,14.0733907,Beroun,86160
blansko,49.3634438,16.6434481,Blansko,105708
brno-mesto,49.191596,16.6111292,Brno-město,385913
brno-venkov,49.1761559,16.3881798326,Brno-venkov,206300
bruntal,49.9887133,17.4646617,Bruntál,92693
breclav,48.7594008,16.8813137,Břeclav,112828
ceska-lipa,50.6865452,14.5372974,Česká Lípa,100756
ceske-budejovice,48.9747357,14.474285,České Budějovice,186462
cesky-krumlov,48.8111744,14.3151514,Český Krumlov,60516
decin,50.7824196,14.2147221,Děčín,128834
domazlice,49.4407069,12.9298338,Domažlice,59926
frydek-mistek,49.685635,18.3483416,Frýdek-Místek,207756
havlickuv-brod,49.607079,15.5794883,Havlíčkův Brod,94217
hodonin,49.8368708,15.7866863,Hodonín,153225
hradec-kralove,50.2094963,15.832719,Hradec Králové,162661
cheb,50.0793511,12.3703526,Cheb,90188
chomutov,50.44133455,13.4469573,Chomutov,122157
chrudim,49.9511458,15.7947559,Chrudim,103199
jablonec-nad-nisou,50.7240899,15.1710958,Jablonec nad Nisou,88200
jesenik,50.2296385,17.2046012,Jeseník,38779
jicin,50.4375086,15.3515976,Jičín,79702
jihlava,49.396064,15.5903065,Jihlava,110522
jindrichuv-hradec,49.1443265,15.003354,Jindřichův Hradec,90604
karlovy-vary,50.2304694,12.8710769,Karlovy Vary,115446
karvina,49.8542719,18.5416556,Karviná,256394
kladno,50.1478497,14.1025379,Kladno,158799
klatovy,49.3951096,13.2935526,Klatovy,85726
kolin,50.0288894,15.2011571,Kolín,96001
kromeriz,49.2984191,17.3929804,Kroměříž,105569
kutna-hora,49.9486561,15.2681123,Kutná Hora,73404
liberec,50.7702648,15.0583947,Liberec,169878
litomerice,50.5340795,14.1317985,Litoměřice,117278
louny,50.3576477,13.7973796,Louny,85191
melnik,50.3507641,14.4740503,Mělník,104659
mlada-boleslav,50.4116187,14.9031301,Mladá Boleslav,123659
most,50.5032737,13.636112,Most,111775
nachod,50.4169725,16.1628404,Náchod,109550
novy-jicin,49.5947705,18.0103694,Nový Jičín,148074
nymburk,50.186331,15.0417306,Nymburk,94884
olomouc,49.85911765,16.9561108969,Olomouc,230408
opava,49.9324379,17.9011842152,Opava,174899
ostrava-mesto,49.8046309,18.2342778123,Ostrava-město,326018
pardubice,50.0410187,15.7765409,Pardubice,168423
pelhrimov,49.4317154,15.2233722,Pelhřimov,71914
pisek,49.3089887,14.147769,Písek,69843
plzen-jih,49.7477415,13.3775249,Plzeň-jih,62389
plzen-mesto,49.71400165,13.423688628,Plzeň-město,188045
plzen-sever,49.8814234,13.2812881231,Plzeň-sever,74940
praha,50.0596288,14.4464592733,Praha,1268796
praha-vychod,50.0828112,14.7192179487,Praha-východ,157146
praha-zapad,49.99844205,14.2634282909,Praha-západ,131231
prachatice,49.0131904,13.9974631,Prachatice,50010
prostejov,49.4721467,17.1117979,Prostějov,107859
prerov,49.4553775,17.4508621,Přerov,130082
pribram,49.6901444,14.0103663,Příbram,112816
rakovnik,50.1039674,13.7333385,Rakovník,54993
rokycany,49.7429636,13.5945245,Rokycany,47458
rychnov-nad-kneznou,50.1631069,16.274837,Rychnov nad Kněžnou,77829
semily,50.602249,15.33526,Semily,73605
sokolov,50.1815641,12.640035,Sokolov,89961
strakonice,49.2616735,13.9023123,Strakonice,69786
svitavy,49.7562053,16.4688995,Svitavy,103245
sumperk,49.9655521,16.9705651,Šumperk,121299
tabor,49.4140896,14.6584713,Tábor,101115
tachov,49.7955449,12.6335852,Tachov,51917
teplice,50.6406644,13.8244461,Teplice,125498
trutnov,50.5608851,15.9130498,Trutnov,118174
trebic,49.2151907,15.8816091,Třebíč,111693
uherske-hradiste,49.0681068,17.4663639,Uherské Hradiště,141467
usti-nad-labem,50.6684322,14.0408798,Ústí nad Labem,118228
usti-nad-orlici,49.9737051,16.3940676,Ústí nad Orlicí,136760
vsetin,49.3389775,17.9961534,Vsetín,142420
vyskov,49.2778194,16.9994446,Vyškov,88154
zlin,49.19692,17.6460916358,Zlín,190488
znojmo,48.8554341,16.0489457,Znojmo,111380
zdar-nad-sazavou,49.5629014,15.9391924,Žďár nad Sázavou,117219
bacs-kiskun,46.5809294,19.5128532,Bács-Kiskun ,522312
baranya,45.9714436,18.1669246,Baranya,388907
bekes,46.7862993,20.9820736,Békés,357740
borsod-abauj-zemplen,48.2397936,21.1353474,Borsod-Abaúj-Zemplén,678261
budapest,47.48138955,19.1460727845,Budapest,1740041
csongrad,46.4515164,20.2277606,Csongrád,419366
fejer,47.0939434,18.6088562,Fejér,425581
gyor-moson-sopron,47.6610134,17.3796437,Győr-Moson-Sopron,451827
hajdu-bihar,47.4407848,21.4752281,Hajdú-Bihar,538037
heves,47.7884409,20.1714412,Heves,305336
jasz-nagykun-szolnok,47.2971598,20.453178,Jász-Nagykun-Szolnok,383128
komarom-esztergom,47.6511599,18.2551911,Komárom-Esztergom,310200
nograd,47.9873616,19.5472495,Nógrád ,198933
pest,47.3716234,19.3449835,Pest ,1245048
somogy,46.439656,17.6212956,Somogy,315850
szabolcs-szatmar-bereg,48.0297821,22.0040108,Szabolcs-Szatmár-Bereg,551871
tolna,46.4883447,18.5050005,Tolna ,229116
vas,47.1371935,16.780898,Vas,256458
veszprem,47.1207289,17.5930443,Veszprém,354565
zala,46.6713343,16.8894692,Zala,285154
